SKU;ProductTitleFR;ProductTitleEN;ProductDescriptionFR;ProductDescriptionEN;upc;RegularPrice;Inventory;weight;length;width;height;ImageUrl;ProductCategory;AssociatedSkus
"111NH";"Sac microfiltre HEPA rond pour aspirateur Ghibli T1 et Wirbel W1 - paquet de 5 sacs";"Round Microfilter HEPA Vacuum Bag for Ghibli Vacuum T1 and Wirbel W1 - Pack of 5 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383783602";"22.950000";"1323";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/111NH.jpg";"Vacuum Bags";"JVT1,JVT1W,STJV111"
"11876-2A";"Cette pices est rarement commande    le prix de cette pice sera ajust  11876-2A";"Cette pices est rarement commande    le prix de cette pice sera ajust  11876-2A";"Cette pices est rarement commande    le prix de cette pice sera ajust  11876-2A";"Cette pices est rarement commande    le prix de cette pice sera ajust  11876-2A";"";"0.010000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/11876-2A.jpg";"Johnny Vac Parts (*)";""
"1206";"Sac HEPA pour aspirateur Maytag M1200 - paquet de 6 sacs - M12H-6CN";"HEPA Vacuum Bag for Maytag M1200 - Pack of 6 Bags - M12H-6CN";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"098612068808";"29.460000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1206.jpg";"Vacuum Bags";""
"125JV";"Sac en papier pour aspirateur Electrolux avec r̩servoir - style C AirPlus - bǫte de 100 sacs - en vrac - 805FPC*";"Paper Vacuum Bag for Electrolux Tank - Style C AirPlus - Box of 100 Bags - Bulk - 805FPC*";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383768210";"89.990000";"5";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/125JV.jpg";"Vacuum Bags";""
"126B";"Sac en papier pour aspirateur Electrolux Discovery Prolux - style U AirPlus - bǫte de 100 sacs - en vrac - 138FPC*";"Paper Vacuum Bag for Electrolux Discovery Prolux - Style U AirPlus - Box of 100 Bags - Bulk - 138FPC*";"<ul><li>Est compatible avec <i> ELECTROLUX DISCOVERY PROLUX </i></li></ul>";"<p></p><ul><li>Fits On <i>-ELECTROLUX DISCOVERY PROLUX</i></li></ul><p></p>";"628383179771";"139.000000";"0";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/126B.jpg";"Vacuum Bags";""
"1293";"Sac microfiltration pour aspirateur chariot commercial Perfect C105 - paquet de 9 sacs";"Microfilter Bag for Commercial Canister Vacuum Perfect C105 - Pack of 9 Bags";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383374879";"26.590000";"24";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/1293.jpg";"Vacuum Bags";""
"12X15";"Sac de papier en forme de c̫ne pour aspirateur Filter Queen - paquet de 12 sacs + 2 filtres moteur - 5404011900";"Cone Shape Paper Bag for Filter Queen Vacuum - Pack of 12 Bags + 2 Motor Filters - 5404011900";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383030263";"50.750000";"14";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/12X15.jpg";"Vacuum Bags";"FI1215,FI950"
"12X15JV";"Sac de papier en forme de c̫ne pour aspirateur Filter Queen - paquet de 12 sacs + 2 filtres moteur - Envirocare 200JV";"Cone Shape Paper Bag for Filter Queen Vacuum - Pack of 12 Bags + 2 Motor Filters - Envirocare 200JV";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"628383262145";"14.950000";"616";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/12X15JV.jpg";"Vacuum Bags";"FI1215,FI950"
"12X25ECM";"Sac en papier pour aspirateur chariot Electrolux style C - paquet de 12 sacs - Envirocare 805";"Paper Bag for Electrolux Canister Vacuum Style C - Pack of 12 Bags - Envirocare 805";"<P><I></I>&nbsp;</P>";"<P><I></I>&nbsp;</P>";"836301008052";"19.990000";"241";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/12X25ECM.jpg";"Vacuum Bags";""
"12X25H";"Sac microfiltre HEPA pour aspirateur chariot Electrolux style C (tous les mod̬les) et Perfect C101, C103 & C104 - paquet de 9 sacs - VAC15";"Microfilter Hepa Vacuum Bag for Electrolux Canister Vacuum Cleaner Style C (All Models) and Perfect C101, C103 & C104 - Pack of 9 Bags - VAC15";"<P>&nbsp;</P>";"<P>&nbsp;</P>";"101012300000";"28.500000";"32";"0.000000";"0";"0.000000";"0.000000";"http://www.johnnyvacstock.com/photos/web/12X25H.jpg";"Vacuum Bags";""
